portal,content_type,file_path,issue_code,severity,field,current_value_sample,expected_rule,recommended_fix_type,notes
ai-academy,glossary,ai-academy/glossary/ai-academy-glossary-ai-ethics.json,MISSING_FIELD,HIGH,title_en,,"_templates/ requires ""title_en""",deterministic_normalization,"safe default can be applied (e.g. [], 10, false, """")"
ai-academy,glossary,ai-academy/glossary/ai-academy-glossary-ai-ethics.json,MISSING_FIELD,HIGH,category,,"_templates/ requires ""category""",deterministic_normalization,"safe default can be applied (e.g. [], 10, false, """")"
ai-academy,glossary,ai-academy/glossary/ai-academy-glossary-ai-ethics.json,MISSING_FIELD,MEDIUM,featured,,"_templates/ requires ""featured""",deterministic_normalization,"safe default can be applied (e.g. [], 10, false, """")"
ai-academy,glossary,ai-academy/glossary/ai-academy-glossary-ai-ethics.json,MISSING_FIELD,MEDIUM,tags,,"_templates/ requires ""tags""",deterministic_normalization,"safe default can be applied (e.g. [], 10, false, """")"
ai-academy,glossary,ai-academy/glossary/ai-academy-glossary-ai-ethics.json,MISSING_FIELD,HIGH,sort_order,,"_templates/ requires ""sort_order""",deterministic_normalization,"safe default can be applied (e.g. [], 10, false, """")"
ai-academy,glossary,ai-academy/glossary/ai-academy-glossary-ai-safety.json,MISSING_FIELD,HIGH,title_en,,"_templates/ requires ""title_en""",deterministic_normalization,"safe default can be applied (e.g. [], 10, false, """")"
ai-academy,glossary,ai-academy/glossary/ai-academy-glossary-ai-safety.json,MISSING_FIELD,HIGH,category,,"_templates/ requires ""category""",deterministic_normalization,"safe default can be applied (e.g. [], 10, false, """")"
ai-academy,glossary,ai-academy/glossary/ai-academy-glossary-ai-safety.json,MISSING_FIELD,MEDIUM,featured,,"_templates/ requires ""featured""",deterministic_normalization,"safe default can be applied (e.g. [], 10, false, """")"
ai-academy,glossary,ai-academy/glossary/ai-academy-glossary-ai-safety.json,MISSING_FIELD,MEDIUM,tags,,"_templates/ requires ""tags""",deterministic_normalization,"safe default can be applied (e.g. [], 10, false, """")"
ai-academy,glossary,ai-academy/glossary/ai-academy-glossary-ai-safety.json,MISSING_FIELD,HIGH,sort_order,,"_templates/ requires ""sort_order""",deterministic_normalization,"safe default can be applied (e.g. [], 10, false, """")"
ai-academy,glossary,ai-academy/glossary/ai-academy-glossary-ai-verification.json,MISSING_FIELD,HIGH,title_en,,"_templates/ requires ""title_en""",deterministic_normalization,"safe default can be applied (e.g. [], 10, false, """")"
ai-academy,glossary,ai-academy/glossary/ai-academy-glossary-ai-verification.json,MISSING_FIELD,HIGH,category,,"_templates/ requires ""category""",deterministic_normalization,"safe default can be applied (e.g. [], 10, false, """")"
ai-academy,glossary,ai-academy/glossary/ai-academy-glossary-ai-verification.json,MISSING_FIELD,MEDIUM,featured,,"_templates/ requires ""featured""",deterministic_normalization,"safe default can be applied (e.g. [], 10, false, """")"
ai-academy,glossary,ai-academy/glossary/ai-academy-glossary-ai-verification.json,MISSING_FIELD,MEDIUM,tags,,"_templates/ requires ""tags""",deterministic_normalization,"safe default can be applied (e.g. [], 10, false, """")"
ai-academy,glossary,ai-academy/glossary/ai-academy-glossary-ai-verification.json,MISSING_FIELD,HIGH,sort_order,,"_templates/ requires ""sort_order""",deterministic_normalization,"safe default can be applied (e.g. [], 10, false, """")"
