table,record_id,source_path,fields_generated,fields_skipped_due_to_missing_db_columns,slug_handling,excerpt_ar_handling,status_guard,sql_update_generated,reason
ai_lessons,ai-academy-lesson-advanced-prompting,content-source/_normalized\ai-academy\lessons\ai-academy-lesson-advanced-prompting.md,content_type; title_en; portal_id; status; data; title_ar,slug; excerpt_ar; excerpt_en,added to data jsonb,added to data jsonb,status='draft',yes,Syncing normalized value schema-safe
ai_lessons,ai-academy-lesson-ai-ethics,content-source/_normalized\ai-academy\lessons\ai-academy-lesson-ai-ethics.md,content_type; title_en; portal_id; status; data; title_ar,slug; excerpt_ar; excerpt_en,added to data jsonb,added to data jsonb,status='draft',yes,Syncing normalized value schema-safe
ai_lessons,ai-academy-lesson-ai-for-study-2,content-source/_normalized\ai-academy\lessons\ai-academy-lesson-ai-for-study-2.md,content_type; title_en; portal_id; status; data; title_ar,slug; excerpt_ar; excerpt_en,added to data jsonb,added to data jsonb,status='draft',yes,Syncing normalized value schema-safe
ai_lessons,ai-academy-lesson-ai-for-study,content-source/_normalized\ai-academy\lessons\ai-academy-lesson-ai-for-study.md,content_type; title_en; portal_id; status; data; title_ar,slug; excerpt_ar; excerpt_en,added to data jsonb,added to data jsonb,status='draft',yes,Syncing normalized value schema-safe
ai_lessons,ai-academy-lesson-ai-for-work-2,content-source/_normalized\ai-academy\lessons\ai-academy-lesson-ai-for-work-2.md,content_type; title_en; portal_id; status; data; title_ar,slug; excerpt_ar; excerpt_en,added to data jsonb,added to data jsonb,status='draft',yes,Syncing normalized value schema-safe
ai_lessons,ai-academy-lesson-ai-for-work,content-source/_normalized\ai-academy\lessons\ai-academy-lesson-ai-for-work.md,content_type; title_en; portal_id; status; data; title_ar,slug; excerpt_ar; excerpt_en,added to data jsonb,added to data jsonb,status='draft',yes,Syncing normalized value schema-safe
ai_lessons,ai-academy-lesson-ai-hallucination,content-source/_normalized\ai-academy\lessons\ai-academy-lesson-ai-hallucination.md,content_type; title_en; portal_id; status; data; title_ar,slug; excerpt_ar; excerpt_en,added to data jsonb,added to data jsonb,status='draft',yes,Syncing normalized value schema-safe
ai_lessons,ai-academy-lesson-detecting-hallucinations,content-source/_normalized\ai-academy\lessons\ai-academy-lesson-detecting-hallucinations.md,content_type; title_en; portal_id; status; data; title_ar,slug; excerpt_ar; excerpt_en,added to data jsonb,added to data jsonb,status='draft',yes,Syncing normalized value schema-safe
ai_lessons,ai-academy-lesson-evaluating-models,content-source/_normalized\ai-academy\lessons\ai-academy-lesson-evaluating-models.md,content_type; title_en; portal_id; status; data; title_ar,slug; excerpt_ar; excerpt_en,added to data jsonb,added to data jsonb,status='draft',yes,Syncing normalized value schema-safe
ai_lessons,ai-academy-lesson-future-of-ai,content-source/_normalized\ai-academy\lessons\ai-academy-lesson-future-of-ai.md,content_type; title_en; portal_id; status; data; title_ar,slug; excerpt_ar; excerpt_en,added to data jsonb,added to data jsonb,status='draft',yes,Syncing normalized value schema-safe
ai_lessons,ai-academy-lesson-how-to-prompt,content-source/_normalized\ai-academy\lessons\ai-academy-lesson-how-to-prompt.md,content_type; title_en; portal_id; status; data; title_ar,slug; excerpt_ar; excerpt_en,added to data jsonb,added to data jsonb,status='draft',yes,Syncing normalized value schema-safe
ai_lessons,ai-academy-lesson-independent-learning,content-source/_normalized\ai-academy\lessons\ai-academy-lesson-independent-learning.md,content_type; title_en; portal_id; status; data; title_ar,slug; excerpt_ar; excerpt_en,added to data jsonb,added to data jsonb,status='draft',yes,Syncing normalized value schema-safe
