portal,content_type,file_count,candidate_table,readiness_tier,tier_meaning,evidence_note,evidence_source
ai-academy,glossary,50,ai_glossary,B,Table exists but is pre-existing/live-wired - requires separate review before any import,Pre-existing live-wired table (defined in supabase/v22_ai_glossary.sql); requires separate review before import,static evidence (table-compatibility-matrix.csv + manual verification + deferred-migrations listing)
ai-academy,prompts,30,ai_prompts,B,Table exists but is pre-existing/live-wired - requires separate review before any import,Pre-existing live-wired table (defined in supabase/v24_ai_prompts.sql); requires separate review before import,static evidence (table-compatibility-matrix.csv + manual verification + deferred-migrations listing)
ai-academy,resources,30,ai_resources,A,Safe to plan a staged import - new isolated empty RLS-protected table,New core table created 2026-06-08 (empty RLS-protected zero app dependency),static evidence (table-compatibility-matrix.csv + manual verification + deferred-migrations listing)
ai-academy,lessons,20,ai_lessons,A,Safe to plan a staged import - new isolated empty RLS-protected table,New core table created 2026-06-08 (empty RLS-protected zero app dependency),static evidence (table-compatibility-matrix.csv + manual verification + deferred-migrations listing)
automation,glossary,50,automation_glossary,B,Table exists but is pre-existing/live-wired - requires separate review before any import,Pre-existing live-wired table (defined in supabase/v33_automation_glossary.sql); requires separate review before import,static evidence (table-compatibility-matrix.csv + manual verification + deferred-migrations listing)
automation,prompts,30,automation_prompts,B,Table exists but is pre-existing/live-wired - requires separate review before any import,Pre-existing live-wired table (defined in supabase/v37_automation_prompts.sql); requires separate review before import,static evidence (table-compatibility-matrix.csv + manual verification + deferred-migrations listing)
automation,resources,30,automation_resources,A,Safe to plan a staged import - new isolated empty RLS-protected table,New core table created 2026-06-08 (empty RLS-protected zero app dependency),static evidence (table-compatibility-matrix.csv + manual verification + deferred-migrations listing)
automation,lessons,20,automation_lessons,A,Safe to plan a staged import - new isolated empty RLS-protected table,New core table created 2026-06-08 (empty RLS-protected zero app dependency),static evidence (table-compatibility-matrix.csv + manual verification + deferred-migrations listing)
career,glossary,50,career_glossary,A,Safe to plan a staged import - new isolated empty RLS-protected table,New core table created 2026-06-08 (empty RLS-protected zero app dependency),static evidence (table-compatibility-matrix.csv + manual verification + deferred-migrations listing)
career,prompts,30,career_prompts,A,Safe to plan a staged import - new isolated empty RLS-protected table,New core table created 2026-06-08 (empty RLS-protected zero app dependency),static evidence (table-compatibility-matrix.csv + manual verification + deferred-migrations listing)
career,resources,30,career_resources,A,Safe to plan a staged import - new isolated empty RLS-protected table,New core table created 2026-06-08 (empty RLS-protected zero app dependency),static evidence (table-compatibility-matrix.csv + manual verification + deferred-migrations listing)
career,lessons,20,career_lessons,A,Safe to plan a staged import - new isolated empty RLS-protected table,New core table created 2026-06-08 (empty RLS-protected zero app dependency),static evidence (table-compatibility-matrix.csv + manual verification + deferred-migrations listing)
digital-exams,glossary,50,digital_exams_glossary,A,Safe to plan a staged import - new isolated empty RLS-protected table,New core table created 2026-06-08 (empty RLS-protected zero app dependency),static evidence (table-compatibility-matrix.csv + manual verification + deferred-migrations listing)
digital-exams,prompts,30,digital_exams_prompts,A,Safe to plan a staged import - new isolated empty RLS-protected table,New core table created 2026-06-08 (empty RLS-protected zero app dependency),static evidence (table-compatibility-matrix.csv + manual verification + deferred-migrations listing)
digital-exams,resources,30,digital_exams_resources,A,Safe to plan a staged import - new isolated empty RLS-protected table,New core table created 2026-06-08 (empty RLS-protected zero app dependency),static evidence (table-compatibility-matrix.csv + manual verification + deferred-migrations listing)
digital-exams,lessons,20,digital_exams_lessons,A,Safe to plan a staged import - new isolated empty RLS-protected table,New core table created 2026-06-08 (empty RLS-protected zero app dependency),static evidence (table-compatibility-matrix.csv + manual verification + deferred-migrations listing)
iot-lab,glossary,50,iot_glossary,A,Safe to plan a staged import - new isolated empty RLS-protected table,New core table created 2026-06-08 (empty RLS-protected zero app dependency),static evidence (table-compatibility-matrix.csv + manual verification + deferred-migrations listing)
iot-lab,prompts,30,iot_prompts,A,Safe to plan a staged import - new isolated empty RLS-protected table,New core table created 2026-06-08 (empty RLS-protected zero app dependency),static evidence (table-compatibility-matrix.csv + manual verification + deferred-migrations listing)
iot-lab,resources,30,iot_resources,A,Safe to plan a staged import - new isolated empty RLS-protected table,New core table created 2026-06-08 (empty RLS-protected zero app dependency),static evidence (table-compatibility-matrix.csv + manual verification + deferred-migrations listing)
iot-lab,lessons,20,iot_lessons,B,Table exists but is pre-existing/live-wired - requires separate review before any import,Pre-existing live-wired table (defined in supabase/v42_iot_lessons.sql); requires separate review before import,static evidence (table-compatibility-matrix.csv + manual verification + deferred-migrations listing)
language,glossary,50,language_glossary,A,Safe to plan a staged import - new isolated empty RLS-protected table,New core table created 2026-06-08 (empty RLS-protected zero app dependency),static evidence (table-compatibility-matrix.csv + manual verification + deferred-migrations listing)
language,prompts,30,language_prompts,A,Safe to plan a staged import - new isolated empty RLS-protected table,New core table created 2026-06-08 (empty RLS-protected zero app dependency),static evidence (table-compatibility-matrix.csv + manual verification + deferred-migrations listing)
language,resources,30,language_resources,A,Safe to plan a staged import - new isolated empty RLS-protected table,New core table created 2026-06-08 (empty RLS-protected zero app dependency),static evidence (table-compatibility-matrix.csv + manual verification + deferred-migrations listing)
language,lessons,20,language_lessons,A,Safe to plan a staged import - new isolated empty RLS-protected table,New core table created 2026-06-08 (empty RLS-protected zero app dependency),static evidence (table-compatibility-matrix.csv + manual verification + deferred-migrations listing)
nano-banana,glossary,50,nano_banana_glossary,C,Table does not exist - deferred (tools_hub / nano_banana risk group),Table does not exist - part of deferred migration package (nano_banana risk group),static evidence (table-compatibility-matrix.csv + manual verification + deferred-migrations listing)
nano-banana,prompts,30,nano_banana_custom_prompts,B,Table exists but is pre-existing/live-wired - requires separate review before any import,Pre-existing live-wired table (defined in supabase/v14_nano_banana_custom_prompts.sql); SPECIAL CASE - this is the OLD table the new nano_banana_prompts schema was designed to replace/align with; naming-mismatch risk flagged by importer-plan.md,static evidence (table-compatibility-matrix.csv + manual verification + deferred-migrations listing)
nano-banana,resources,30,nano_banana_resources,C,Table does not exist - deferred (tools_hub / nano_banana risk group),Table does not exist - part of deferred migration package (nano_banana risk group),static evidence (table-compatibility-matrix.csv + manual verification + deferred-migrations listing)
nano-banana,lessons,20,nano_banana_lessons,C,Table does not exist - deferred (tools_hub / nano_banana risk group),Table does not exist - part of deferred migration package (nano_banana risk group),static evidence (table-compatibility-matrix.csv + manual verification + deferred-migrations listing)
tools-hub,glossary,50,tools_hub_glossary,C,Table does not exist - deferred (tools_hub / nano_banana risk group),Table does not exist - part of deferred migration package (tools_hub risk group),static evidence (table-compatibility-matrix.csv + manual verification + deferred-migrations listing)
tools-hub,prompts,30,tools_hub_prompts,C,Table does not exist - deferred (tools_hub / nano_banana risk group),Table does not exist - part of deferred migration package (tools_hub risk group),static evidence (table-compatibility-matrix.csv + manual verification + deferred-migrations listing)
tools-hub,resources,30,tools_hub_resources,C,Table does not exist - deferred (tools_hub / nano_banana risk group),Table does not exist - part of deferred migration package (tools_hub risk group),static evidence (table-compatibility-matrix.csv + manual verification + deferred-migrations listing)
tools-hub,lessons,20,tools_hub_lessons,C,Table does not exist - deferred (tools_hub / nano_banana risk group),Table does not exist - part of deferred migration package (tools_hub risk group),static evidence (table-compatibility-matrix.csv + manual verification + deferred-migrations listing)
