id,source_file,target_table,portal_id,content_type,status_to_insert,title_ar,title_en,category,sort_order,already_imported,included_in_this_import,exclusion_reason
ai-academy-resource-ai-ethics-guidelines,content-source/_normalized/ai-academy/resources/ai-academy-resource-ai-ethics-guidelines.json,ai_resources,ai-academy,resource,draft,إرشادات أخلاقيات الذكاء الاصطناعي,,الذكاء الاصطناعي,10,False,True,
ai-academy-resource-ai-safety-fundamentals,content-source/_normalized/ai-academy/resources/ai-academy-resource-ai-safety-fundamentals.json,ai_resources,ai-academy,resource,draft,أساسيات أمان الذكاء الاصطناعي,,الذكاء الاصطناعي,20,False,True,
ai-academy-resource-ai-study-planner,content-source/_normalized/ai-academy/resources/ai-academy-resource-ai-study-planner.json,ai_resources,ai-academy,resource,draft,منظم الدراسة بالذكاء الاصطناعي,,الذكاء الاصطناعي,30,False,True,
ai-academy-resource-ai-tools-directory,content-source/_normalized/ai-academy/resources/ai-academy-resource-ai-tools-directory.json,ai_resources,ai-academy,resource,draft,دليل أدوات الذكاء الاصطناعي,,الذكاء الاصطناعي,40,False,True,
ai-academy-resource-anthropic-alignment,content-source/_normalized/ai-academy/resources/ai-academy-resource-anthropic-alignment.json,ai_resources,ai-academy,resource,draft,أبحاث محاذاة النماذج,,الذكاء الاصطناعي,50,False,True,
ai-academy-resource-ar-ai-community,content-source/_normalized/ai-academy/resources/ai-academy-resource-ar-ai-community.json,ai_resources,ai-academy,resource,draft,مجتمع الذكاء الاصطناعي العربي,,الذكاء الاصطناعي,60,False,True,
ai-academy-resource-canva-magic-studio,content-source/_normalized/ai-academy/resources/ai-academy-resource-canva-magic-studio.json,ai_resources,ai-academy,resource,draft,مورد Canva Magic Studio,Canva Magic Studio,الذكاء الاصطناعي,210,False,True,
ai-academy-resource-chatgpt-2,content-source/_normalized/ai-academy/resources/ai-academy-resource-chatgpt-2.json,ai_resources,ai-academy,resource,draft,مورد Chatgpt,Chatgpt,الذكاء الاصطناعي,220,False,True,
ai-academy-resource-chatgpt,content-source/_normalized/ai-academy/resources/ai-academy-resource-chatgpt.json,ai_resources,ai-academy,resource,draft,شات جي بي تي,,الذكاء الاصطناعي,70,False,True,
ai-academy-resource-claude-ai,content-source/_normalized/ai-academy/resources/ai-academy-resource-claude-ai.json,ai_resources,ai-academy,resource,draft,كلود,,الذكاء الاصطناعي,80,False,True,
ai-academy-resource-claude,content-source/_normalized/ai-academy/resources/ai-academy-resource-claude.json,ai_resources,ai-academy,resource,draft,مورد Claude,Claude,الذكاء الاصطناعي,230,False,True,
ai-academy-resource-code-assistant,content-source/_normalized/ai-academy/resources/ai-academy-resource-code-assistant.json,ai_resources,ai-academy,resource,draft,المساعد البرمجي,,الذكاء الاصطناعي,90,False,True,
ai-academy-resource-coursera-ai-for-everyone,content-source/_normalized/ai-academy/resources/ai-academy-resource-coursera-ai-for-everyone.json,ai_resources,ai-academy,resource,draft,مورد Coursera Ai For Everyone,Coursera Ai For Everyone,الذكاء الاصطناعي,240,False,True,
ai-academy-resource-deepl,content-source/_normalized/ai-academy/resources/ai-academy-resource-deepl.json,ai_resources,ai-academy,resource,draft,مورد Deepl,Deepl,الذكاء الاصطناعي,250,False,True,
ai-academy-resource-deeplearning-ai,content-source/_normalized/ai-academy/resources/ai-academy-resource-deeplearning-ai.json,ai_resources,ai-academy,resource,draft,منصة ديب ليرنينج للذكاء الاصطناعي,,الذكاء الاصطناعي,100,False,True,
ai-academy-resource-fact-checking-tool,content-source/_normalized/ai-academy/resources/ai-academy-resource-fact-checking-tool.json,ai_resources,ai-academy,resource,draft,أداة التحقق من الحقائق الذكية,,الذكاء الاصطناعي,110,False,True,
ai-academy-resource-gemini,content-source/_normalized/ai-academy/resources/ai-academy-resource-gemini.json,ai_resources,ai-academy,resource,draft,جيمناي,,الذكاء الاصطناعي,120,False,True,
ai-academy-resource-github-copilot,content-source/_normalized/ai-academy/resources/ai-academy-resource-github-copilot.json,ai_resources,ai-academy,resource,draft,مورد Github Copilot,Github Copilot,الذكاء الاصطناعي,260,False,True,
ai-academy-resource-google-gemini,content-source/_normalized/ai-academy/resources/ai-academy-resource-google-gemini.json,ai_resources,ai-academy,resource,draft,مورد Google Gemini,Google Gemini,الذكاء الاصطناعي,270,False,True,
ai-academy-resource-hallucination-checker,content-source/_normalized/ai-academy/resources/ai-academy-resource-hallucination-checker.json,ai_resources,ai-academy,resource,draft,مكتشف الهلوسة,,الذكاء الاصطناعي,130,False,True,
ai-academy-resource-hugging-face-course,content-source/_normalized/ai-academy/resources/ai-academy-resource-hugging-face-course.json,ai_resources,ai-academy,resource,draft,دورة المعالجة اللغوية الطبيعية,,الذكاء الاصطناعي,140,False,True,
ai-academy-resource-hugging-face,content-source/_normalized/ai-academy/resources/ai-academy-resource-hugging-face.json,ai_resources,ai-academy,resource,draft,مورد Hugging Face,Hugging Face,الذكاء الاصطناعي,280,False,True,
ai-academy-resource-midjourney-2,content-source/_normalized/ai-academy/resources/ai-academy-resource-midjourney-2.json,ai_resources,ai-academy,resource,draft,مورد Midjourney,Midjourney,الذكاء الاصطناعي,290,False,True,
ai-academy-resource-midjourney,content-source/_normalized/ai-academy/resources/ai-academy-resource-midjourney.json,ai_resources,ai-academy,resource,draft,ميدجورني,,الذكاء الاصطناعي,150,False,True,
ai-academy-resource-openai-docs,content-source/_normalized/ai-academy/resources/ai-academy-resource-openai-docs.json,ai_resources,ai-academy,resource,draft,مستندات أوبن إي آي,,الذكاء الاصطناعي,160,False,True,
ai-academy-resource-perplexity-2,content-source/_normalized/ai-academy/resources/ai-academy-resource-perplexity-2.json,ai_resources,ai-academy,resource,draft,مورد Perplexity,Perplexity,الذكاء الاصطناعي,300,False,True,
ai-academy-resource-perplexity,content-source/_normalized/ai-academy/resources/ai-academy-resource-perplexity.json,ai_resources,ai-academy,resource,draft,محرك بحث بيربليكسيتي,,الذكاء الاصطناعي,170,False,True,
ai-academy-resource-prompt-engineering-guide,content-source/_normalized/ai-academy/resources/ai-academy-resource-prompt-engineering-guide.json,ai_resources,ai-academy,resource,draft,دليل هندسة الأوامر,,الذكاء الاصطناعي,180,False,True,
ai-academy-resource-prompt-library-repo,content-source/_normalized/ai-academy/resources/ai-academy-resource-prompt-library-repo.json,ai_resources,ai-academy,resource,draft,مستودع الأوامر مفتوح المصدر,,الذكاء الاصطناعي,190,False,True,
ai-academy-resource-research-assistant-ai,content-source/_normalized/ai-academy/resources/ai-academy-resource-research-assistant-ai.json,ai_resources,ai-academy,resource,draft,مساعد البحث العلمي الذكي,,الذكاء الاصطناعي,200,False,True,
